1,1,5036,1
2,5036,6838,1
3,6838,8652,0
4,8652,10802,1
5,10802,12685,1
6,12685,14596,1
7,14596,16671,0
8,16671,18606,1
9,18606,20478,0
10,20478,22433,1
11,22433,24410,0
12,24410,26250,1
13,26250,28246,0
14,28246,30080,0
15,30080,32223,1
16,32223,34053,0
17,34053,35977,0
18,35977,38150,1
19,38150,40103,1
20,40103,42218,0
21,42218,44155,1
22,44155,46241,0
23,46241,48385,1
24,48385,50478,1
25,50478,52406,1
26,52406,54278,0
27,54278,56215,1
28,56215,58207,0
29,58207,60112,0
30,60112,62249,0
31,62249,64166,0
32,64166,66164,0
33,66164,68031,0
34,68031,70191,1
35,70191,72112,0
36,72112,74227,0
37,74227,76423,0
38,76423,78427,0
39,78427,80589,0
40,80589,82725,0
41,82725,84540,0
42,84540,86402,0
43,86402,88266,0
44,88266,90273,0
45,90273,92087,1
46,92087,94130,0
47,94130,95940,0
48,95940,98056,0
49,98056,100122,0
50,100122,102236,0
51,102236,104326,0
52,104326,106354,0
53,106354,108243,0
54,108243,110321,0
55,110321,112365,0
56,112365,114553,0
57,114553,116617,0
58,116617,118823,0
59,118823,120726,0
60,120726,122802,0
61,122802,124727,0
62,124727,126567,0
63,126567,128682,0
64,128682,130693,0
65,130693,132851,0
66,132851,134860,0
67,134860,136895,0
68,136895,139083,0
69,139083,141162,0
70,141162,143104,0
71,143104,144914,0
72,144914,147002,0
73,147002,149203,0
74,149203,151319,0
75,151319,153425,0
76,153425,155312,0
77,155312,157176,0
78,157176,159348,0
79,159348,161467,0
80,161467,163509,0
81,163509,165661,0
82,165661,167743,0
83,167743,169665,0
84,169665,171509,0
85,171509,173567,0
86,173567,175485,1
87,175485,177641,0
88,177641,179512,1
89,179512,181428,0
90,181428,183452,0
91,183452,185643,0
92,185643,187519,0
93,187519,189387,0
94,189387,191301,0
95,191301,193183,1
96,193183,195220,0
97,195220,197225,0
98,197225,199146,0
99,199146,201015,0
100,201015,203064,1
